Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,276.420013,280.869995,262.859985,280.570007,273.965607,8131400
2020-03-11,272.950012,274.040009,263.309998,269.760010,263.410065,8366800
2020-03-12,244.529999,262.489990,240.929993,241.500000,235.815262,15031500
2020-03-13,258.779999,270.029999,245.500000,270.010010,263.654175,9934900
2020-03-16,234.490005,257.730011,229.259995,235.649994,230.102951,12111500
2020-03-17,240.479996,250.500000,231.960007,237.880005,232.280502,12665200
2020-03-18,222.339996,229.100006,213.220001,227.929993,222.564713,11352800
2020-03-19,224.009995,238.500000,211.550003,227.149994,221.803024,9126400
2020-03-20,236.020004,236.020004,210.000000,211.419998,206.443344,10518600
2020-03-23,203.279999,215.679993,199.990005,203.300003,198.514465,11588700
2020-03-24,215.919998,238.440002,215.000000,237.070007,231.489563,11654800
2020-03-25,247.899994,266.299988,240.360001,256.480011,250.442688,12642700
2020-03-26,257.899994,265.809998,252.619995,263.179993,256.984924,9957900
2020-03-27,250.240005,256.070007,244.699997,247.649994,241.820496,7819300
2020-03-30,245.850006,254.250000,244.649994,253.250000,247.288681,5765800
2020-03-31,252.460007,253.419998,241.080002,241.559998,235.873810,10373900
2020-04-01,230.940002,237.100006,227.100006,228.610001,223.228699,6646200
2020-04-02,228.389999,239.369995,227.350006,238.880005,233.256927,6446600
2020-04-03,236.979996,239.880005,230.309998,237.029999,231.450485,4163000
2020-04-06,252.000000,267.109985,250.009995,265.940002,259.679993,8636700
2020-04-07,281.609985,282.869995,258.480011,259.079987,252.981415,8627300
2020-04-08,262.510010,271.880005,258.910004,270.950012,264.981171,5690100
2020-04-09,275.130005,276.000000,267.720001,269.399994,263.465332,6662900
2020-04-13,268.200012,268.700012,255.750000,263.339996,257.538818,7114400
2020-04-14,269.880005,275.640015,269.200012,270.720001,264.756287,6354400
2020-04-15,260.510010,262.950012,255.619995,257.140015,251.475418,10240700
2020-04-16,258.390015,258.390015,244.710007,246.759995,241.324020,11455400
2020-04-17,258.250000,260.700012,251.509995,259.970001,254.243042,10412100
2020-04-20,254.509995,256.630005,249.669998,251.729996,246.184525,6042700
2020-04-21,246.649994,249.389999,244.100006,245.350006,239.945099,5964600
2020-04-22,251.460007,258.600006,251.000000,256.910004,251.250458,5083200
2020-04-23,259.390015,262.420013,255.270004,255.860001,250.223587,4270600
2020-04-24,258.429993,259.829987,252.830002,258.760010,253.059738,3824200
2020-04-27,260.220001,265.720001,259.510010,265.119995,259.279663,4099900
2020-04-28,270.399994,272.649994,262.959991,264.600006,258.771027,4344000
